year,fips,place,livein_workout,liveout_workin,livein_workin
2020,0800760,Aguilar town,167,71,6
2020,0800925,Akron town,557,312,217
2020,0801090,Alamosa city,2144,3405,1723
2020,0801530,Alma town,72,60,1
2020,0802355,Antonito town,124,325,37
2020,0803235,Arriba town,73,3,1
2020,0803455,Arvada city,55264,25107,5858
2020,0803620,Aspen city,1772,7248,2523
2020,0803950,Ault town,804,569,33
2020,0804000,Aurora city,133084,111713,39685
2020,0804110,Avon town,1565,5238,393
2020,0804935,Basalt town,2010,2025,276
2020,0805265,Bayfield town,1011,761,184
2020,0806090,Bennett town,1186,707,60
2020,0806255,Berthoud town,4112,1955,303
2020,0806530,Bethune town,83,32,0
2020,0807025,Black Hawk city,42,2730,7
2020,0807190,Blanca town,99,165,10
2020,0807410,Blue River town,344,85,3
2020,0807571,Bonanza town,3,0,0
2020,0807795,Boone town,91,53,1
2020,0807850,Boulder city,16877,68073,16928
2020,0808070,Bow Mar town,407,62,1
2020,0808345,Branson town,21,62,1
2020,0808400,Breckenridge town,1431,4793,835
2020,0808675,Brighton city,15971,12726,2844
2020,0809115,Brookside town,87,14,0
2020,0809280,Broomfield city,31242,33953,4561
2020,0809555,Brush city,1881,915,427
2020,0810105,Buena Vista town,723,1176,263
2020,0810600,Burlington city,758,871,626
2020,0811260,Calhan town,303,310,15
2020,0811645,Campo town,28,30,0
2020,0811810,Cañon City city,4342,4492,2378
2020,0812030,Carbonate town,0,0,0
2020,0812045,Carbondale town,2524,2075,511
2020,0812387,Castle Pines city,4829,1492,221
2020,0812415,Castle Rock town,28807,18153,5926
2020,0812635,Cedaredge town,662,247,92
2020,0812815,Centennial city,46758,64126,5950
2020,0812855,Center town,472,382,143
2020,0812910,Central City city,296,375,8
2020,0813460,Cheraw town,88,39,6
2020,0813845,Cherry Hills Village city,2087,1267,97
2020,0814175,Cheyenne Wells town,203,245,64
2020,0814765,City of Creede town,69,239,57
2020,0815330,Coal Creek town,135,8,1
2020,0815550,Cokedale town,31,36,1
2020,0815605,Collbran town,95,67,8
2020,0816000,Colorado Springs city,63889,94151,123231
2020,0816385,Columbine Valley town,694,333,14
2020,0816495,Commerce City city,25616,32800,2971
2020,0817375,Cortez city,1826,3249,1839
2020,0817760,Craig city,2556,1654,1956
2020,0817925,Crawford town,115,19,1
2020,0818310,Crested Butte town,312,1188,142
2020,0818420,Crestone town,29,79,3
2020,0818530,Cripple Creek city,289,1635,182
2020,0818640,Crook town,69,16,2
2020,0818750,Crowley town,42,6,1
2020,0819080,Dacono city,3375,899,80
2020,0819355,De Beque town,150,144,12
2020,0819630,Deer Trail town,449,129,5
2020,0819795,Del Norte town,504,361,130
2020,0819850,Delta city,2275,2754,868
2020,0820000,Denver city,180085,340768,150383
2020,0820440,Dillon town,492,1019,27
2020,0820495,Dinosaur town,93,215,3
2020,0820770,Dolores town,274,291,27
2020,0821265,Dove Creek town,148,229,45
2020,0822035,Durango city,2940,11060,5401
2020,0822145,Eads town,214,269,98
2020,0822200,Eagle town,1807,3082,655
2020,0822860,Eaton town,2501,1262,296
2020,0823025,Eckley town,66,12,0
2020,0823135,Edgewater city,2505,1400,41
2020,0823740,Elizabeth town,816,576,26
2020,0824620,Empire town,118,20,3
2020,0824785,Englewood city,16174,23240,1262
2020,0824950,Erie town,13293,2744,644
2020,0825115,Estes Park town,1341,2025,1150
2020,0825280,Evans city,10487,3227,449
2020,0825610,Fairplay town,188,554,36
2020,0826270,Federal Heights city,5356,2685,105
2020,0826600,Firestone town,8249,2615,311
2020,0826765,Flagler town,169,211,41
2020,0826875,Fleming town,110,83,2
2020,0827040,Florence city,1322,676,210
2020,0827425,Fort Collins city,35263,47193,34406
2020,0827700,Fort Lupton city,3796,2825,455
2020,0827810,Fort Morgan city,3281,4622,2861
2020,0827865,Fountain city,9398,5807,1007
2020,0827975,Fowler town,444,127,72
2020,0828105,Foxfield town,369,274,1
2020,0828305,Fraser town,478,582,53
2020,0828360,Frederick town,8439,4617,387
2020,0828690,Frisco town,907,1779,129
2020,0828745,Fruita city,4454,1741,799
2020,0829185,Garden City town,104,451,1
2020,0829680,Genoa town,50,3,0
2020,0829735,Georgetown town,370,411,56
2020,0829955,Gilcrest town,447,130,2
2020,0830340,Glendale city,2365,10603,104
2020,0830780,Glenwood Springs city,3208,7209,2022
2020,0830835,Golden city,7946,19362,1092
2020,0831550,Granada town,174,71,2
2020,0831605,Granby town,625,854,127
2020,0831660,Grand Junction city,7922,29871,16768
2020,0831715,Grand Lake town,135,225,21
2020,0832155,Greeley city,33071,28916,18794
2020,0832650,Green Mountain Falls town,243,45,6
2020,0833035,Greenwood Village city,6495,62686,1085
2020,0833310,Grover town,70,67,1
2020,0833640,Gunnison city,1602,1845,1363
2020,0833695,Gypsum town,1825,1409,467
2020,0834520,Hartman town,16,49,1
2020,0834740,Haswell town,37,0,0
2020,0834960,Haxtun town,338,233,110
2020,0835070,Hayden town,556,714,76
2020,0836610,Hillrose town,168,18,2
2020,0837215,Holly town,235,218,56
2020,0837270,Holyoke city,622,413,336
2020,0837380,Hooper town,32,46,2
2020,0837545,Hotchkiss town,212,326,34
2020,0837600,Hot Sulphur Springs town,260,364,9
2020,0837820,Hudson town,736,403,22
2020,0837875,Hugo town,225,363,67
2020,0838370,Idaho Springs city,584,649,104
2020,0838535,Ignacio town,264,401,16
2020,0838590,Iliff town,102,22,2
2020,0839195,Jamestown town,107,7,2
2020,0839855,Johnstown town,8007,5131,597
2020,0839965,Julesburg town,322,204,92
2020,0840185,Keenesburg town,575,495,22
2020,0840515,Kersey town,670,385,26
2020,0840570,Kim town,18,24,0
2020,0840790,Kiowa town,387,371,19
2020,0841010,Kit Carson town,93,62,4
2020,0841560,Kremmling town,536,566,124
2020,0841835,Lafayette city,11383,11459,1225
2020,0842055,La Jara town,217,293,16
2020,0842110,La Junta city,1746,1746,1117
2020,0842330,Lake City town,133,98,60
2020,0842495,Lakeside town,7,889,0
2020,0843000,Lakewood city,60484,79868,14617
2020,0843110,Lamar city,1694,1289,1669
2020,0843550,Larkspur town,89,140,2
2020,0843605,La Salle town,1081,661,58
2020,0843660,Las Animas city,565,357,133
2020,0844100,La Veta town,172,170,39
2020,0844320,Leadville city,1332,767,336
2020,0844980,Limon town,541,814,274
2020,0845255,Littleton city,19776,30624,2529
2020,0845530,Lochbuie town,4004,128,29
2020,0845695,Log Lane Village town,479,81,4
2020,0845955,Lone Tree city,6344,19814,550
2020,0845970,Longmont city,31833,24516,12371
2020,0846355,Louisville city,8773,15502,1143
2020,0846465,Loveland city,25982,26793,8100
2020,0847070,Lyons town,749,464,53
2020,0848060,Manassa town,236,58,6
2020,0848115,Mancos town,356,300,74
2020,0848445,Manitou Springs city,1741,1127,255
2020,0848500,Manzanola town,169,30,0
2020,0848555,Marble town,96,51,1
2020,0849600,Mead town,2469,1772,89
2020,0849875,Meeker town,480,622,419
2020,0850040,Merino town,132,54,2
2020,0850480,Milliken town,4042,1187,72
2020,0850920,Minturn town,495,395,29
2020,0851250,Moffat town,17,129,2
2020,0851635,Monte Vista city,1352,771,367
2020,0851690,Montezuma town,43,4,0
2020,0851745,Montrose city,3745,7108,4616
2020,0851800,Monument town,3508,3060,214
2020,0852075,Morrison town,143,456,4
2020,0852350,Mountain View town,261,213,4
2020,0852550,Mountain Village town,430,1762,484
2020,0852570,Mount Crested Butte town,272,366,26
2020,0853120,Naturita town,130,127,21
2020,0853175,Nederland town,453,490,81
2020,0853395,New Castle town,2178,533,114
2020,0854330,Northglenn city,17140,12146,973
2020,0854880,Norwood town,149,151,27
2020,0854935,Nucla town,166,117,27
2020,0855045,Nunn town,232,356,6
2020,0855155,Oak Creek town,331,135,18
2020,0855540,Olathe town,527,413,40
2020,0855705,Olney Springs town,43,2,0
2020,0855870,Ophir town,105,8,0
2020,0855980,Orchard City town,910,393,76
2020,0856145,Ordway town,190,277,58
2020,0856365,Otis town,175,55,12
2020,0856420,Ouray city,268,513,64
2020,0856475,Ovid town,80,85,6
2020,0856860,Pagosa Springs town,283,2306,171
2020,0856970,Palisade town,765,630,88
2020,0857025,Palmer Lake town,956,688,23
2020,0857245,Paoli town,39,20,0
2020,0857300,Paonia town,299,338,90
2020,0857400,Parachute town,559,600,46
2020,0857630,Parker town,26793,16547,2695
2020,0858235,Peetz town,101,79,7
2020,0859005,Pierce town,473,231,6
2020,0859830,Pitkin town,40,9,0
2020,0860160,Platteville town,1318,435,40
2020,0860600,Poncha Springs town,354,226,14
2020,0861315,Pritchett town,39,22,1
2020,0862000,Pueblo city,18728,18715,20808
2020,0862660,Ramah town,38,3,2
2020,0862880,Rangely town,537,362,452
2020,0863045,Raymer (New Raymer) town,51,0,0
2020,0863265,Red Cliff town,145,22,1
2020,0864090,Rico town,88,24,3
2020,0864200,Ridgway town,350,697,121
2020,0864255,Rifle city,3652,2457,980
2020,0864970,Rockvale town,166,16,0
2020,0865190,Rocky Ford city,1118,471,277
2020,0865740,Romeo town,80,13,0
2020,0866895,Rye town,47,89,1
2020,0867005,Saguache town,108,202,21
2020,0867280,Salida city,1545,2187,1298
2020,0867830,Sanford town,251,121,7
2020,0868105,San Luis town,144,225,53
2020,0868655,Sawpit town,19,15,0
2020,0868930,Sedgwick town,46,27,0
2020,0869040,Seibert town,73,23,0
2020,0869150,Severance town,3852,240,65
2020,0869645,Sheridan city,2628,7769,94
2020,0869700,Sheridan Lake town,26,18,1
2020,0870195,Silt town,1471,394,84
2020,0870250,Silver Cliff town,174,84,8
2020,0870360,Silver Plume town,79,144,2
2020,0870525,Silverthorne town,1334,2250,235
2020,0870580,Silverton town,122,119,127
2020,0870635,Simla town,240,164,15
2020,0871755,Snowmass Village town,813,2365,301
2020,0872395,South Fork town,161,151,19
2020,0873330,Springfield town,248,350,312
2020,0873715,Starkville town,30,13,0
2020,0873825,Steamboat Springs city,2557,6160,4275
2020,0873935,Sterling city,3231,2867,2431
2020,0874485,Stratton town,204,181,30
2020,0874815,Sugar City town,25,26,0
2020,0875640,Superior town,5846,2462,219
2020,0875970,Swink town,222,106,4
2020,0876795,Telluride town,423,1915,375
2020,0877290,Thornton city,60387,24791,5201
2020,0877510,Timnath town,2555,994,44
2020,0878610,Trinidad city,1891,1716,1684
2020,0879270,Two Buttes town,7,0,0
2020,0880040,Vail town,2504,4537,1813
2020,0880865,Victor city,138,74,3
2020,0881030,Vilas town,34,16,2
2020,0881690,Vona town,44,3,0
2020,0882130,Walden town,200,182,71
2020,0882350,Walsenburg city,790,312,282
2020,0882460,Walsh town,112,152,36
2020,0882735,Ward town,62,11,0
2020,0883230,Wellington town,4414,923,270
2020,0883450,Westcliffe town,105,424,33
2020,0883835,Westminster city,51084,43476,5774
2020,0884440,Wheat Ridge city,14059,17374,986
2020,0884770,Wiggins town,657,271,53
2020,0885045,Wiley town,169,214,7
2020,0885155,Williamsburg town,223,16,2
2020,0885485,Windsor town,14836,8264,1728
2020,0885705,Winter Park town,256,1962,100
2020,0886090,Woodland Park city,2942,2223,634
2020,0886310,Wray city,584,854,352
2020,0886475,Yampa town,191,9,2
2020,0886750,Yuma city,862,829,544
